id_staz,lat,lon,quota,dataset,nome
H10141,44.77839,10.97129,23.0,agrmet,Cortile di Carpi
H12695,44.62220,11.72671,6.0,agrmet,Marmorta
H12696,44.45834,11.60264,45.0,agrmet,Castel San Pietro Gaiana
H12697,44.52203,11.54998,30.0,agrmet,Budrio Dondina
H12698,44.49023,11.42939,51.0,agrmet,Castenaso Villanova
H12699,44.39725,11.72418,28.0,agrmet,Sasso Morelli Beghina
H12700,44.59803,11.59497,10.0,agrmet,Budrio Rotta del Giardino
H12701,44.50927,11.52000,46.0,agrmet,Budrio Prunaro
H02287,45.02683,10.00566,40.0,agrmet,Villanova sull'Arda
H02288,44.74430,11.06581,23.0,agrmet,Ravarino
H02289,44.70214,10.95670,28.0,agrmet,Albareto
H02290,44.63130,11.02953,32.0,agrmet,Castelfranco Emilia
H02292,44.44853,11.86667,10.0,agrmet,Sant'Agata sul Santerno
H02293,44.73957,11.71281,3.0,agrmet,Voghiera
H02294,44.83763,11.50861,14.0,agrmet,Vigarano
H02295,44.31392,12.16020,5.0,agrmet,San Pietro in Vincoli
H02296,44.31405,12.01793,17.0,agrmet,Albereto di Faenza
H02297,44.03456,12.50050,36.0,agrmet,Vergiano
H02298,43.92765,12.65932,63.0,agrmet,San Clemente
H02299,43.99432,12.58016,35.0,agrmet,San Salvatore
H02300,44.41953,11.75409,19.0,agrmet,Casola Canina
H02301,44.69500,11.14493,18.0,agrmet,Sant'Agata Bolognese
H02302,44.68290,10.29630,18.0,agrmet,Panocchia
H02303,44.91630,11.82130,1.0,agrmet,Copparo
H02304,44.58960,11.24958,25.0,agrmet,Sala Bolognese
H02305,44.74325,10.77293,33.0,agrmet,Correggio
H02306,44.68953,10.51062,95.0,agrmet,Cavriago
H02307,44.08903,12.27459,113.0,agrmet,Carpineta
H02308,44.56350,11.84403,5.0,agrmet,Lavezzola
H02309,43.86646,12.66621,340.0,agrmet,Mondaino
H02312,44.79683,11.11818,17.0,agrmet,Camposanto
H02313,45.00405,09.52925,92.0,agrmet,Campremoldo di Sopra
H53010,44.88547,10.38070,28.0,agrmet,Gainago
H06227,44.57105,11.53379,20.0,agrmet,Mezzolara
H06228,44.56861,11.73270,8.0,agrmet,Sant'Antonio
H06232,44.41112,11.59701,58.0,agrmet,Castel San Pietro
H06233,44.55123,10.90937,90.0,agrmet,Formigine
H06237,45.00695,10.16786,31.0,agrmet,Zibello
H06238,44.83695,10.57823,23.0,agrmet,Castelnovo di Sotto
H06239,44.47562,10.50865,580.0,agrmet,Carpineti
H06240,44.32806,10.62267,632.0,agrmet,Montefiorino
H06242,44.78042,10.03873,277.0,agrmet,Pieve di Cusignano
H06245,44.88612,11.01631,18.0,agrmet,Mirandola
H06246,44.70739,11.89117,0.0,agrmet,Ostellato
H06251,44.27592,11.92381,32.0,agrmet,Reda Faenza
H06259,44.04111,11.98190,330.0,agrmet,Cusercoli
H06260,45.04139,09.58959,68.0,agrmet,San Nicolo'
H06261,45.00253,10.00494,41.0,agrmet,Castellazzo Villanova d'Arda
H06263,44.82606,11.12578,16.0,agrmet,San Felice sul Panaro
H06264,44.62775,11.29056,25.0,agrmet,Padulle Sala Bolognese
H06265,44.41953,11.75408,19.0,agrmet,Sasso Morelli
H06270,43.91182,12.64294,65.0,agrmet,Morciano
H06289,44.12022,11.80825,556.0,agrmet,Modigliana
H06640,44.74656,11.74639,3.0,agrmet,Sellarino Voghiera
H06643,44.83186,11.45436,10.0,agrmet,Mirabello
H70000,44.21978,11.75545,185.0,agrmet,Brisighella
H07218,44.49614,11.20006,65.0,agrmet,Zola Predosa
H07331,44.94378,10.34959,29.0,agrmet,Colorno
H07332,44.89347,10.08311,58.0,agrmet,Fidenza
H07333,44.70305,10.20620,276.0,agrmet,Maiatico
H07334,44.95225,10.25933,32.0,agrmet,Sissa
H07353,44.64273,10.35704,258.0,agrmet,Sivizzano
H07354,44.74272,10.14737,104.0,agrmet,Medesano
H07355,44.87717,10.22581,42.0,agrmet,Grugno
H07356,44.64820,10.25851,347.0,agrmet,Casatico
H07357,44.69345,10.85326,40.0,agrmet,Campogalliano
H11111,44.21458,12.47585,-10.0,boa,Nausicaa
H12626,44.52250,12.51139,10.0,boa,Garibaldi A.
H12627,44.47944,12.27083,5.0,boa,Piomboni_Elisup
H12628,44.39111,12.34361,25.0,boa,Angelina
H12629,44.40500,12.66083,10.0,boa,Amelia A.
H12630,44.07694,13.78167,30.0,boa,Barbara
H12631,43.82722,13.71222,10.0,boa,Clara W
H05305,44.92834,11.43941,14.0,cer,Palantone Impianto Po
