id_staz,lat,lon,quota,dataset,nome
H10141,44.77839,10.97129,23.0,agrmet,Cortile di Carpi
H12698,44.49023,11.42939,51.0,agrmet,Castenaso Villanova
H12699,44.39725,11.72418,28.0,agrmet,Sasso Morelli Beghina
H02289,44.70214,10.95670,28.0,agrmet,Albareto
H02290,44.63130,11.02953,32.0,agrmet,Castelfranco Emilia
H02292,44.44853,11.86667,10.0,agrmet,Sant'Agata sul Santerno
H02295,44.31392,12.16020,5.0,agrmet,San Pietro in Vincoli
H02297,44.03456,12.50050,36.0,agrmet,Vergiano
H02301,44.69500,11.14493,18.0,agrmet,Sant'Agata Bolognese
H02303,44.91630,11.82130,1.0,agrmet,Copparo
H02305,44.74325,10.77293,33.0,agrmet,Correggio
H02306,44.68953,10.51062,95.0,agrmet,Cavriago
H02307,44.08903,12.27459,113.0,agrmet,Carpineta
H02308,44.56350,11.84403,5.0,agrmet,Lavezzola
H53010,44.88547,10.38070,28.0,agrmet,Gainago
H06227,44.57105,11.53379,20.0,agrmet,Mezzolara
H06232,44.41112,11.59701,58.0,agrmet,Castel San Pietro Arpa
H06233,44.55123,10.90937,90.0,agrmet,Formigine
H06237,45.00695,10.16786,31.0,agrmet,Zibello
H06238,44.83695,10.57823,23.0,agrmet,Castelnovo di Sotto
H06239,44.47562,10.50865,580.0,agrmet,Carpineti
H06240,44.32806,10.62267,632.0,agrmet,Montefiorino
H06242,44.78042,10.03873,277.0,agrmet,Pieve di Cusignano
H06245,44.88612,11.01631,18.0,agrmet,Mirandola
H06251,44.27592,11.92381,32.0,agrmet,Reda Faenza
H06259,44.04111,11.98190,330.0,agrmet,Cusercoli
H06260,45.04139,09.58959,68.0,agrmet,San Nicolo'
H06261,45.00253,10.00494,41.0,agrmet,Castellazzo Villanova d'Arda
H06263,44.82606,11.12578,16.0,agrmet,San Felice sul Panaro
H06264,44.62775,11.29056,25.0,agrmet,Padulle Sala Bolognese
H06265,44.41953,11.75408,19.0,agrmet,Sasso Morelli
H06270,43.91182,12.64294,65.0,agrmet,Morciano
H06289,44.12022,11.80825,556.0,agrmet,Modigliana Arpa
H06640,44.74656,11.74639,3.0,agrmet,Sellarino Voghiera
H06643,44.83186,11.45436,10.0,agrmet,Mirabello
H07218,44.49614,11.20006,65.0,agrmet,Zola Predosa
H11111,44.21458,12.47585,0.0,boa,Nausicaa
H12626,44.52250,12.51139,10.0,boa,Garibaldi A.
H12627,44.47944,12.27083,5.0,boa,Piomboni_Elisup
H12628,44.39111,12.34361,25.0,boa,Angelina
H12629,44.40500,12.66083,10.0,boa,Amelia A.
H05305,44.92834,11.43941,14.0,cer,Palantone Impianto Po
H05306,44.79868,11.38497,14.0,cer,Sant'Agostino Cavo
H05307,44.57541,12.22282,6.0,cer,Volta Scirocco monte
H05364,44.92711,11.44068,17.0,cer,Palantone Impianto Mandracchio
H05365,44.79823,11.38430,17.0,cer,Sant'Agostino CER
H05366,44.57492,12.22338,6.0,cer,Volta Scirocco valle
H07340,44.44905,11.74903,32.0,cer,Botte Sillaro
H14598,44.48044,12.27744,-1.0,claster,Marina di Ravenna
H14599,44.54841,11.36743,28.0,claster,Serpieri
H14600,44.22861,11.05583,287.0,claster,Riola di Vergato
H14601,44.05356,11.84166,250.0,claster,Rocca San Casciano
H14602,43.90708,11.79314,553.0,claster,Corniolo
H14603,44.11827,11.00561,474.0,claster,Diga di Pavana
H14604,44.12889,11.11750,840.0,claster,Diga di Brasimone
H14605,44.13417,11.04278,478.0,claster,Diga di Suviana
H14606,44.35313,12.26505,-2.0,claster,Fosso Ghiaia
H14607,44.83519,12.09812,1.0,claster,Codigoro
H14608,44.27639,11.27333,589.0,claster,Monzuno
H14609,43.89056,12.08611,336.0,claster,Diga di Quarto
H14610,44.47600,11.32544,203.0,claster,Villa Ghigi
H11240,44.86278,10.70000,22.0,coremo,SIRONA
H11241,44.83778,10.70917,25.0,coremo,CARTOCCIO
H11242,44.80139,10.69167,29.0,coremo,SANTA MARIA
H11243,44.79806,10.64222,25.0,coremo,VIA ARGINE
H11244,44.75111,10.66417,31.0,coremo,ROTTE
H11245,44.67222,10.71306,55.0,coremo,MASONE
H11246,44.84944,10.79833,25.0,coremo,BRUNORIA
H11247,44.76806,10.76389,34.0,coremo,CORREGGIO
H11248,44.73306,10.78139,36.0,coremo,SAN MARTINO
H11249,44.70944,10.84083,39.0,coremo,PANZANO
H11250,44.73222,10.85139,35.0,coremo,GARGALLO
H11251,44.78639,10.92361,22.0,coremo,PRATAZZOLA
H11253,44.88528,10.64194,21.0,coremo,BENTIVOGLIO
H11254,44.69861,10.62639,57.0,coremo,REGGIO EMILIA
H12863,44.41770,11.91331,14.0,cro,Lugo RA
H07364,44.55489,11.99460,6.0,cro,Idrovoro Tratturo
H07365,44.42099,11.80877,16.0,cro,Mordano Bubano
H07366,44.56128,12.24389,4.0,cro,Ponte Chiavica
H07367,44.40099,11.86376,16.0,cro,Santerno Senio 1
H07368,44.36821,11.83876,19.0,cro,Santerno Senio 2
H12224,44.42429,09.41013,386.0,fiduli,Borzone
H12226,44.23132,09.71552,112.0,fiduli,Brugnato
H12234,44.24990,09.84000,425.0,fiduli,Calice al Cornoviglio-Molunghi
H12240,44.30542,09.76581,1070.0,fiduli,Casoni
H12246,44.35237,09.58414,410.0,fiduli,Cembrano
H12251,44.42107,09.32194,615.0,fiduli,Cichero
H12260,44.10632,09.73483,338.0,fiduli,Corniolo
H12264,44.34000,09.71000,780.0,fiduli,Cuccarello
H12273,44.13805,09.90619,25.0,fiduli,Fornola
H12289,44.46268,09.39525,1009.0,fiduli,Giacopiane
H12291,44.46112,09.38773,1030.0,fiduli,Giacopiane-Lago
H12300,44.32323,09.61484,270.0,fiduli,La Macchia
H12302,44.10703,09.82819,35.0,fiduli,La Spezia
