
       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2 MOB     
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- --- ---     
    2000001 SPALATO                        PARMA                          PR  44.80000  10.31999    55  000 19900101 20030101  00  01  01  01  01  01  01  01  00  00     
    2000003 CITTADELLA                     PARMA                          PR  44.79242  10.33099    60  031 19930501 -999      01  01  01  01  01  00  00  00  01  00     
    2000004 MONTEBELLO                     PARMA                          PR  44.78664  10.33648    55  011 19980401 -999      00  01  01  01  01  00  01  01  00  00     
    2000005 MARZABOTTO                     FIDENZA                        PR  44.86000  10.06000    75  011 19950623 20080128  00  00  01  01  01  00  01  00  00  00     
    2000006 MAZZINI                        FIDENZA                        PR  44.87000  10.06000    75  011 19950623 20080302  00  00  01  01  01  00  01  00  00  00     
    2000007 MILAZZO                        PARMA                          PR  44.80000  10.32000    55  011 19980701 20080128  00  00  01  01  01  00  00  00  00  00     
    2000008 VITTORIA                       PARMA                          PR  44.80238  10.31440    55  011 20040101 20070102  00  01  01  01  01  01  01  01  00  00     
    2000171 TEST                           ROCCABIANCA                    PR  45.01120  10.22152 -9999  000 20071112 20080101  00  01  01  00  01  00  01  00  00  00     
    2000214 BADIA                          LANGHIRANO                     PR  44.65823  10.28937   202  033 20080129 -999      01  01  01  01  01  00  00  00  01  00     
    2000215 LEOPARDI                       FIDENZA                        PR  44.86333  10.05024    75  011 20080129 20080220  00  01  01  01  01  00  01  00  00  00     
    2000219 SARAGAT                        COLORNO                        PR  44.92596  10.37191    30  012 20080302 -999      01  01  01  01  01  00  01  00  01  00     
    2000222 UM-PR-02                       SOLIGNANO                      PR  44.61267   9.97734 -9999  000 20060201 -999      00  01  00  00  00  00  00  00  01  01     
    2000223 UM-PR-01                       PARMA                          PR  44.79242  10.33099    60  000 20030107 -999      00  01  00  00  00  00  00  00  01  01     
    2000224 LM-PR                          SOLIGNANO                      PR -99.99999 -99.99999 -9999  000 19800101 -999      01  01  01  01  01  01  01  01  00  01     
    2000228 SUPERSITO CITTADELLA           PARMA                          PR  44.79242  10.33099    60  031 20110706 20161231  00  00  00  00  00  00  00  00  01  00     
    2000229 MALCANTONE                     MEZZANI                        PR  44.89093  10.39961    25  003 20130121 -999      00  01  01  01  01  00  00  00  01  00     
    2000230 BOGOLESE                       SORBOLO                        PR  44.82915  10.39154    35  002 20130206 -999      00  01  01  01  01  00  00  00  01  00     
    2000231 LM-PR-PAIP                     SORBOLO                        PR  44.84982  10.44876 -9999  000 20130124 -999      00  01  01  01  01  01  00  01  01  01     
    2000232 PARADIGNA                      PARMA                          PR  44.84128  10.34457    40  002 20130404 -999      00  01  01  01  01  00  00  01  01  00     
