id_staz,lat,lon,quota,nome
S01001,  70.93940,  -8.66900,  10.0,synop,JAN MAYEN
S01002,  80.05920,  16.25000,   8.0,synop,VERLEGENHUKEN
S01003,  77.00170,  15.53580,  10.0,synop,HORNSUND
S01006,  78.25080,  22.82250,  14.0,synop,EDGEOYA
S01007,  78.92300,  11.93330,   8.0,synop,NY-ALESUND
S01008,  78.24530,  15.50150,  28.0,synop,SVALBARD AP
S01009,  80.65300,  25.00800,   5.0,synop,KARL XII OYA
S01010,  69.30730,  16.13120,  10.0,synop,ANDOYA
S01011,  80.07000,  31.50000,  10.0,synop,KVITOYA
S01015,  69.60130,  17.83030,  14.0,synop,HEKKINGEN LH
S01016,  78.92770,  28.89200,  20.0,synop,KONGSOYA
S01017,  77.68880,  14.77500,   6.0,synop,AKSELOYA
S01018,  69.24130,  16.00300, 436.0,synop,ANDOYA-TROLLTINDEN
S01020,  76.47770,  16.54880,  10.0,synop,SORKAPPOYA
S01023,  69.05770,  18.54370,  76.0,synop,BARDUFOSS
S01024,  78.65570,  16.35580,  20.0,synop,PYRAMIDEN
S01025,  69.67670,  18.91330,   8.0,synop,TROMSO/LANGNES
S01026,  69.65360,  18.93680, 100.0,synop,TROMSO
S01027,  69.65230,  18.90570,  20.0,synop,TROMSO-HOLT
S01028,  74.51670,  19.00500,  16.0,synop,BJORNOYA
S01030,  69.28970,  18.12880, 982.0,synop,KISTEFJELL
S01033,  70.24520,  19.49970,  21.0,synop,TORSVAG LH
S01035,  69.55880,  20.09400, 710.0,synop,LYNGEN GJERDVASSBU
S01036,  69.57380,  20.42530, 700.0,synop,NORDNESFJELLET
S01037,  69.38750,  20.28230,  20.0,synop,SKIBOTN 2
S01042,  70.60700,  22.44280, 438.0,synop,HASVIK-SLUSKFJELLET
S01043,  70.41060,  22.81770,  18.0,synop,ROGNSUNDET
S01044,  70.48650,  22.14570,   6.0,synop,HASVIK AP
S01045,  69.83530,  21.89250,   6.0,synop,NORDSTRAUM I KVAENAN
S01046,  69.78870,  20.95530,   6.0,synop,SORKJOSEN
S01047,  68.99680,  23.03350, 307.0,synop,KAUTOKEINO
S01049,  69.97750,  23.35820,   3.0,synop,ALTA LUFTHAVN
S01052,  70.68070,  23.67720,  81.0,synop,HAMMERFEST AP
S01055,  71.09370,  23.98170,  13.0,synop,FRUHOLMEN LH
S01057,  69.36960,  24.43140, 286.0,synop,CUOVDDATMOHKKI
S01058,  69.57970,  23.53450, 381.0,synop,SUOLOVUOPMI LULIT
S01059,  70.06000,  24.99000,   5.0,synop,BANAK
S01062,  76.50970,  25.01330,   6.0,synop,HOPEN
S01064,  69.30000,  25.34630, 591.0,synop,ISKORAS II
S01065,  69.46350,  25.50230, 131.0,synop,KARASJOK
S01068,  71.01050,  25.97820,  14.0,synop,HONNINGSVAG AP
S01074,  71.03300,  27.82980,  13.0,synop,MEHAMN AP
S01075,,,,,
S01076,  70.21220,  28.15900,  32.0,synop,TANABRU
S01078,  71.06470,  28.25130,  22.0,synop,SLETTNES LH
S01082,  69.14700,  29.24400,  56.0,synop,NYRUD
S01083,  70.87080,  29.03480,  13.0,synop,BERLEVAG AP
S01084,  69.45520,  30.04100,  27.0,synop,PASVIK
S01086,  70.60280,  29.70000, 152.0,synop,BATSFJORD AP
S01088,  70.06530,  29.83520,  39.0,synop,VADSO AP
S01089,  69.72550,  29.89770,  89.0,synop,KIRKENES
S01091,  68.19050,  17.78920, 740.0,synop,LOSISTUA
S01092,  70.70570,  30.07000,   9.0,synop,MAKKAUR LH
S01098,  70.37070,  31.09620,  14.0,synop,VARDO
S01099,  70.35450,  31.04400,  12.0,synop,VARDO AP
S01102,  65.20230,  10.99650,  23.0,synop,SKLINNA LH
S01105,  68.36800,  15.94300,   8.0,synop,ROTVAER
S01107,  67.52670,  12.10380,   4.0,synop,ROST AP
S01108,  65.70200,  11.85720,   4.0,synop,VEGA-VALLSJO
S01112,  65.45670,  12.21820,   9.0,synop,BRONNOYSUND AP
S01114,  66.90350,  13.64600,   9.0,synop,REIPA
S01115,  66.76280,  12.48600,  17.0,synop,MYKEN
S01116,  65.96070,  12.47150,  17.0,synop,SANDNESSJOEN AP
S01117,  65.82600,  12.43130,  21.0,synop,TJOTTA
S01121,  66.37080,  12.61080,  10.0,synop,SOLVAER III
S01122,  65.78420,  13.21800,  72.0,synop,MOSJOEN AP
S01124,  64.15870,  12.46920, 195.0,synop,SNASA
S01132,  65.16620,  13.36670, 319.0,synop,MAJAVATN V
S01133,  65.62150,  13.28920,  50.0,synop,LAKSFORS
S01135,  66.13170,  13.58670, 126.0,synop,SELJELIA
S01139,  67.65270,  12.72280,   4.0,synop,VAEROY HELIPORT
S01141,  68.15500,  13.61500,  26.0,synop,LEKNES AP
S01143,  68.04720,  16.08380,  19.0,synop,DRAG-AJLUOKTA
S01144,  67.40480,  13.89580,  24.0,synop,HELLIGVAER II
S01146,  66.23480,  13.90400,   5.0,synop,SKAMDAL
S01147,  65.82550,  14.19420, 406.0,synop,VARNTRESK
S01148,  66.39620,  14.53000, 110.0,synop,STORFORSHEI
S01150,  66.49930,  14.95400, 251.0,synop,HJARTASEN
S01151,  66.36430,  14.30150,  70.0,synop,MO I RANA AP
