
RETE REPORT      ID BREVE           DESCRIZIONE                                        UNITA  VALEN  KIND     
---- -------- ----- --------------- -------------------------------------------------- ------ ------ ----     
   1 SYNOP        1 HH              Altezza nubi piu' basse                            M      P5     RILE     
   1 SYNOP        2 VIS             Visibilita' orizzontale                            HM     P5     RILE     
   1 SYNOP        3 NTOT            Copertura totale                                   CN8    P5     RILE     
   1 SYNOP        4 DD              Direzione vento                                    GSES   P10    RILE     
   1 SYNOP        5 FF              Intensita' vento                                   KN     P10    RILE     
   1 SYNOP        6 TATA            Temperatura aria                                   GC     P5     RILE     
   1 SYNOP        7 TDTD            Temperatura rugiada                                GC     P5     RILE     
   1 SYNOP        8 UMID            Umidita' percentuale                               PERC   P5     RILE     
   1 SYNOP        9 PRES            Pressione aria a livello mare                      MBAR   P5     RILE     
   1 SYNOP       10 GEOP            Geopotenziale                                      GEOP   P5     RILE     
   1 SYNOP       11 P0P0            Pressione aria a livello stazione istantanea       MBAR   P5     RILE     
   1 SYNOP       12 CART            Caratteristica tendenza barometrica                NUM    P5     RILE     
   1 SYNOP       13 TEND            Tendenza barometrica                               MBAR   P5     RILE     
   1 SYNOP       14 PRECI           Precipitazione cumulata nel periodo                MM     P360   RILE     
   1 SYNOP       15 PRECI           Precipitazione cumulata nel periodo                MM     P720   RILE     
   1 SYNOP       17 TEMPRS          Tempo presente                                     NUM    P5     RILE     
   1 SYNOP       18 TEMPAS          Tempo passato                                      NUM    P180   RILE     
   1 SYNOP       19 NH              Copertura nubi basse (SYNOP)                       CN8    P5     RILE     
   1 SYNOP       20 CL              Tipo nubi basse (SYNOP)                            NUM    P5     RILE     
   1 SYNOP       21 CM              Tipo nubi medie (SYNOP)                            NUM    P5     RILE     
   1 SYNOP       22 CH              Tipo nubi alte (SYNOP)                             NUM    P5     RILE     
   1 SYNOP       23 TW              Temperatura dell' acqua                            GC     P5     RILE     
   1 SYNOP       24 PWA             Periodo onde di vento                              SEC    P5     RILE     
   1 SYNOP       25 HWA             Altezza onde di vento                              CM     P5     RILE     
   1 SYNOP       26 PW              Periodo onde                                       SEC    P5     RILE     
   1 SYNOP       27 RADSOL          Radiazione solare                                  RADCC  P60    RILE     
   1 SYNOP       28 HW              Altezza onde                                       CM     P5     RILE     
   1 SYNOP       29 E               Stato suolo                                        NUM    P5     RILE     
   1 SYNOP       30 TMINS           Temperatura minima suolo                           GC     P5     RILE     
   1 SYNOP       31 EG              Stato ghiaccio suolo                               NUM    P5     RILE     
   1 SYNOP       32 SSS             Spessore strato neve                               MM     P5     RILE     
   1 SYNOP       33 NS(1)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
   1 SYNOP       34 NS(2)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
   1 SYNOP       35 NS(3)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
   1 SYNOP       36 NS(4)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
   1 SYNOP       37 CSS(1)          Tipo nubi da gruppo (SYNOP)                        NUM    P5     RILE     
   1 SYNOP       38 CSS(2)          Tipo nubi da gruppo (SYNOP)                        NUM    P5     RILE     
   1 SYNOP       39 CSS(3)          Tipo nubi da gruppo (SYNOP)                        NUM    P5     RILE     
   1 SYNOP       40 CSS(4)          Tipo nubi da gruppo (SYNOP)                        NUM    P5     RILE     
   1 SYNOP       41 HHSS(1)         Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
   1 SYNOP       42 HHSS(2)         Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
   1 SYNOP       43 HHSS(3)         Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
   1 SYNOP       44 HHSS(4)         Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
   1 SYNOP       45 TMAX            Temperatura massima aria                           GC     P720   RILE     
   1 SYNOP       46 TMIN            Temperatura minima aria                            GC     P720   RILE     
   1 SYNOP       67 SYNOP           Report SYNOP (Come da messaggio)                   ASCII  P180   REPO     
   1 SYNOP      204 HH              Altezza nubi piu' basse                            M      P5     CALC     
   1 SYNOP      205 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
   1 SYNOP      206 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
   1 SYNOP      207 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
   3 BOA        476 PROF                                                               M      P60    RILE     
   3 BOA        477 TEMP                                                               GC     P60    RILE     
   3 BOA        478 COND            conducibilita'                                     SM     P60    RILE     
   3 BOA        479 PRES            Pressione aria a livello mare                      DBAR   P60    RILE     
   3 BOA        480 OXYG                                                               MLL    P60    RILE     
   3 BOA        481 PH                                                                 PH     P60    RILE     
   3 BOA        482 ORP                                                                MV     P60    RILE     
   3 BOA        483 SAL                                                                PSU    P60    RILE     
   3 BOA        484 DENS                                                               KGM3   P60    RILE     
   3 BOA        485 FLUO                                                               RFU    P60    RILE     
   3 BOA        486 TCFLUO                                                             RFU    P60    RILE     
   3 BOA        487 TURB                                                               NTU    P60    RILE     
   3 BOA        488 STEMP                                                              GC     P60    RILE     
   3 BOA        489 CURRSPEED                                                          CSEC   P60    RILE     
   3 BOA        490 CURRDIR                                                            GSES   P60    RILE     
   3 BOA        491 DTEMP                                                              GC     P60    RILE     
   3 BOA        492 CURRCOMPASS                                                        NUM    P60    RILE     
   3 BOA        493 CURRTX                                                             NUM    P60    RILE     
   3 BOA        494 CURRTY                                                             NUM    P60    RILE     
   3 BOA        495 BATTERY                                                            VOLT   P60    RILE     
   3 BOA        496 DATE_ADD                                                           NUM    P60    RILE     
   3 BOA        497 TIME_ADD                                                           NUM    P60    RILE     
   3 BOA        498 LAT                                                                GCEN   P60    RILE     
   3 BOA        499 LON                                                                GCEN   P60    RILE     
   3 BOA        500 WIND_SPEED                                                         MSEC   P60    RILE     
   3 BOA        501 WIND_GUST                                                          MSEC   P60    RILE     
   3 BOA        502 WIND_DIR                                                           GSES   P60    RILE     
   3 BOA        503 TWIND_DIR                                                          GSES   P60    RILE     
   3 BOA        504 AIR_TEMP                                                           GC     P60    RILE     
   3 BOA        505 AIR_PRES                                                           HPA    P60    RILE     
   3 BOA        506 REL_HUM                                                            PERC   P60    RILE     
   3 BOA        507 NET_RAD                                                            RADWM  P60    RILE     
   3 BOA        508 HDG                                                                GSES   P60    RILE     
   3 BOA        509 ROLL                                                               GSES   P60    RILE     
   3 BOA        510 PITCH                                                              GSES   P60    RILE     
   3 BOA        511 BATTERY                                                            VOLT   P60    RILE     
   3 BOA        629 HS              Altezza significativa delle onde                   M      P30    RILE     
   3 BOA        630 DIRW            Direzione delle onde di vento                      GSES   P30    RILE     
   3 BOA        631 TM              Periodo medio delle onde                           SEC    P30    RILE     
   3 BOA        632 TP              Periodo di picco delle onde                        SEC    P30    RILE     
   3 BOA        633 TSEA            Temperatura dell' acqua                            GC     P30    RILE     
   4 IDRMGI     250 PRECI           Precipitazione cumulata nel periodo                MM     P1440  CALC     
   5 CER        158 TATA            Temperatura aria                                   GC     P5     RILE     
   5 CER        159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
   5 CER        161 IDRO            Livello idrometrico                                M      P5     RILE     
   5 CER        167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
   5 CER        169 TW              Temperatura istantanea dell' acqua                 GC     P5     RILE     
   6 UMSUOL     522 TISTSLV1        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     523 TISTSLV2        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     524 TISTSLV3        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     525 TISTSLV4        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     526 TISTSLV5        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     527 TISTSLV6        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     528 TISTSLV7        Temperatura instantanea suolo                      GC     P5     RILE     
   6 UMSUOL     529 UMSLV1          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     530 UMSLV2          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     531 UMSLV3          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     532 UMSLV4          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     533 UMSLV5          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     534 UMSLV6          Umidita' suolo                                     NUM    P5     RILE     
   6 UMSUOL     535 UMSLV7          Umidita' suolo                                     NUM    P5     RILE     
   7 CRO        158 TATA            Temperatura aria                                   GC     P5     RILE     
   7 CRO        159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
   9 ETG         78 LMEDT1          Temperatura media aria                             GC     P60    RILE     
   9 ETG         79 LVMNT1          Temperatura minima aria                            GC     P60    RILE     
   9 ETG         80 LVMXT1          Temperatura massima aria                           GC     P60    RILE     
   9 ETG        114 LPRECI          Precipitazione cumulata nel periodo                MM     P60    RILE     
   9 ETG        427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  10 METAR       47 DDD             Direzione vento                                    GSES   P10    RILE     
  10 METAR       48 FF              Intensita' vento                                   KN     P10    RILE     
  10 METAR       49 FM              Intensita' vento massimo                           KN     P10    RILE     
  10 METAR       50 VVVV            Visibilita' orizzontale                            M      P5     RILE     
  10 METAR       51 IWW             Tempo presente o previsto                          ASCII  P5     RILE     
  10 METAR       52 NS(1)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
  10 METAR       53 NS(2)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
  10 METAR       54 NS(3)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
  10 METAR       55 NS(4)           Copertura delle nubi da tipo nubi da gruppo        CN8    P5     RILE     
  10 METAR       56 ICC(1)          Tipo nube (METAR)                                  ASCII  P5     RILE     
  10 METAR       57 ICC(2)          Tipo nube (METAR)                                  ASCII  P5     RILE     
  10 METAR       58 ICC(3)          Tipo nube (METAR)                                  ASCII  P5     RILE     
  10 METAR       59 ICC(4)          Tipo nube (METAR)                                  ASCII  P5     RILE     
  10 METAR       60 HHH(1)          Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
  10 METAR       61 HHH(2)          Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
  10 METAR       62 HHH(3)          Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
  10 METAR       63 HHH(4)          Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     RILE     
  10 METAR       64 TT              Temperatura aria                                   GC     P5     RILE     
  10 METAR       65 TD              Temperatura rugiada                                GC     P5     RILE     
  10 METAR       66 PH              Pressione aria a livello mare                      MBAR   P5     RILE     
  10 METAR       68 METAR           Repor METAR (Come da messaggio)                    ASCII  P30    REPO     
  10 METAR      212 HH              Altezza nubi piu' basse                            M      P5     CALC     
  10 METAR      213 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
  10 METAR      214 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
  10 METAR      215 HHSS            Altezza delle nubi da tipo nubi da gruppo (SYNOP)  M      P5     CALC     
  11 LOCALI      69 LMVV60          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI      70 LMVV10          Intensita' vento                                   MSEC   P10    RILE     
  11 LOCALI      71 LAMV10          Direzione vento                                    GSES   P10    RILE     
  11 LOCALI      72 LVMNVE                                                             MSEC   P60    RILE     
  11 LOCALI      73 LVMXVE          Intensita' vento massimo                           MSEC   P60    RILE     
  11 LOCALI      74 LHMNVE          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI      75 LHMXVE          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI      76 LDIPVE          Direzione prevalente vento medio                   OTTAVI P60    RILE     
  11 LOCALI      77 LISTT1          Temperatura aria                                   GC     P5     RILE     
  11 LOCALI      78 LMEDT1          Temperatura media aria                             GC     P60    RILE     
  11 LOCALI      79 LVMNT1          Temperatura minima aria                            GC     P60    RILE     
  11 LOCALI      80 LVMXT1          Temperatura massima aria                           GC     P60    RILE     
  11 LOCALI      81 LHMNT1          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI      82 LHMXT1          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI      83 LISTT2          Temperatura aria                                   GC     P5     RILE     
  11 LOCALI      84 LMEDT2          Temperatura media aria                             GC     P60    RILE     
  11 LOCALI      85 LVMNT2          Temperatura minima aria                            GC     P60    RILE     
  11 LOCALI      86 LVMXT2          Temperatura massima aria                           GC     P60    RILE     
  11 LOCALI      87 LHMNT2          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI      88 LHMXT2          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI      89 LISTTS          Temperatura instantanea suolo                      GC     P5     RILE     
  11 LOCALI      90 LMEDTS          Temperatura media suolo                            GC     P60    RILE     
  11 LOCALI      91 LVMNTS          Temperatura minima suolo                           GC     P60    RILE     
  11 LOCALI      92 LVMXTS          Temperatura massima suolo                          GC     P60    RILE     
  11 LOCALI      93 LHMNTS          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI      94 LHMXTS          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI      99 LHMNUM          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     100 LHMXUM          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     105 LHMNPR          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     106 LHMXPR          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     107 LISTRS          Radiazione solare istantanea                       RADCC  P5     RILE     
  11 LOCALI     108 LINTRS          Radiazione solare                                  RADCC  P60    RILE     
  11 LOCALI     109 LVMNRS          Radiazione solare minima                           RADCC  P5     RILE     
  11 LOCALI     110 LVMXRS          Radiazione solare massima                          RADCC  P5     RILE     
  11 LOCALI     111 LHMNRS          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     112 LHMXRS          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     113 LINSOL          Insolazione                                        MN     P60    RILE     
  11 LOCALI     114 LPRECI          Precipitazione cumulata nel periodo                MM     P60    RILE     
  11 LOCALI     115 LISTT3          Temperatura aria                                   GC     P5     RILE     
  11 LOCALI     116 LMEDT3          Temperatura media aria                             GC     P60    RILE     
  11 LOCALI     117 LVMNT3          Temperatura minima aria                            GC     P60    RILE     
  11 LOCALI     118 LVMXT3          Temperatura massima aria                           GC     P60    RILE     
  11 LOCALI     119 LHMNT3          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     120 LHMXT3          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     121 LISTT4          Temperatura aria                                   GC     P5     RILE     
  11 LOCALI     122 LMEDT4          Temperatura media aria                             GC     P60    RILE     
  11 LOCALI     123 LVMNT4          Temperatura minima aria                            GC     P60    RILE     
  11 LOCALI     124 LVMXT4          Temperatura massima aria                           GC     P60    RILE     
  11 LOCALI     125 LHMNT4          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     126 LHMXT4          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  11 LOCALI     140 UM180ME         Umidita' percentuale media                         PERC   P60    RILE     
  11 LOCALI     141 UM180MN         Umidita' percentuale minima                        PERC   P60    RILE     
  11 LOCALI     142 UM180MX         Umidita' percentuale massima                       PERC   P60    RILE     
  11 LOCALI     144 BAGNA           Bagnatura fogliare                                 MN     P60    RILE     
  11 LOCALI     162 SSM             strato nevoso                                      M      P5     RILE     
  11 LOCALI     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  11 LOCALI     403 TDEV            deviazione standard                                GC     P60    RILE     
  11 LOCALI     404 TMIN_M          Temperatura aria                                   GC     P60    RILE     
  11 LOCALI     405 TMAX_M          Temperatura aria                                   GC     P60    RILE     
  11 LOCALI     406 UML1H_DEV       Umidita' percentuale                               PERC   P60    RILE     
  11 LOCALI     409 RAVUAV          radiazione visibile                                RADWM  P60    RILE     
  11 LOCALI     410 RAVUMN          radiazione visibile                                RADWM  P60    RILE     
  11 LOCALI     411 RAVUMX          radiazione visibile                                RADWM  P60    RILE     
  11 LOCALI     412 RAVUIT          radiazione visibile                                MJ     P60    RILE     
  11 LOCALI     413 RAVUMJ          radiazione visibile                                MJ     P60    RILE     
  11 LOCALI     427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  11 LOCALI     431 FFVAVG          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     432 FFVDEV          Intensita' vento                                   MSEC   P60    RILE     
